detectorid,starttime,volume,speed,occupancy,status
1538,2011-01-01 00:13:20-08,2,54,3,2
1530,2011-01-01 00:13:20-08,0,0,0,0
1524,2011-01-01 00:13:20-08,0,0,0,0
1516,2011-01-01 00:13:20-08,0,0,0,0
1509,2011-01-01 00:13:20-08,1,58,1,2
1502,2011-01-01 00:13:20-08,0,0,0,0
1495,2011-01-01 00:13:20-08,0,0,0,0
1489,2011-01-01 00:13:20-08,0,0,0,0
1490,2011-01-01 00:13:20-08,0,0,0,0
1544,2011-01-01 00:13:40-08,0,0,0,0
1538,2011-01-01 00:13:40-08,1,55,1,2
1530,2011-01-01 00:13:40-08,0,0,0,0
1524,2011-01-01 00:13:40-08,5,60,4,2
1516,2011-01-01 00:13:40-08,1,53,1,2
1509,2011-01-01 00:13:40-08,0,0,0,0
1502,2011-01-01 00:13:40-08,1,61,1,2
1495,2011-01-01 00:13:40-08,0,0,0,0
1489,2011-01-01 00:13:40-08,0,0,0,0
1490,2011-01-01 00:13:40-08,0,0,0,0
1544,2011-01-01 00:14:00-08,1,49,1,2
1538,2011-01-01 00:14:00-08,1,57,1,2
1530,2011-01-01 00:14:00-08,0,0,0,0
1524,2011-01-01 00:14:00-08,4,57,3,2
1516,2011-01-01 00:14:00-08,0,0,0,0
1509,2011-01-01 00:14:00-08,1,58,1,2
1502,2011-01-01 00:14:00-08,0,0,0,0
1495,2011-01-01 00:14:00-08,1,50,1,2
1489,2011-01-01 00:14:00-08,0,0,0,0
1490,2011-01-01 00:14:00-08,0,0,0,0
1544,2011-01-01 00:14:20-08,1,54,1,2
1538,2011-01-01 00:14:20-08,2,53,2,2
1530,2011-01-01 00:14:20-08,1,61,1,2
1524,2011-01-01 00:14:20-08,5,56,4,2
1516,2011-01-01 00:14:20-08,1,56,1,2
1509,2011-01-01 00:14:20-08,0,0,0,0
1502,2011-01-01 00:14:20-08,1,54,1,2
1495,2011-01-01 00:14:20-08,0,0,0,0
1489,2011-01-01 00:14:20-08,0,0,0,0
1490,2011-01-01 00:14:20-08,0,0,0,0
1544,2011-01-01 00:14:40-08,1,66,0,3
1538,2011-01-01 00:14:40-08,4,53,6,2
1530,2011-01-01 00:14:40-08,1,61,1,2
1524,2011-01-01 00:14:40-08,4,54,3,2
1516,2011-01-01 00:14:40-08,0,0,0,0
1509,2011-01-01 00:14:40-08,1,61,1,2
1502,2011-01-01 00:14:40-08,0,0,0,0
1495,2011-01-01 00:14:40-08,0,0,0,0
1489,2011-01-01 00:14:40-08,0,0,0,0
1490,2011-01-01 00:14:40-08,0,0,0,0
1544,2011-01-01 00:15:00-08,1,53,1,2
1538,2011-01-01 00:15:00-08,1,53,1,2
1530,2011-01-01 00:15:00-08,1,55,1,2
1524,2011-01-01 00:15:00-08,1,53,0,3
1516,2011-01-01 00:15:00-08,1,64,1,2
1509,2011-01-01 00:15:00-08,0,0,0,0
1502,2011-01-01 00:15:00-08,1,57,1,2
1495,2011-01-01 00:15:00-08,1,54,1,2
1489,2011-01-01 00:15:00-08,0,0,0,0
1490,2011-01-01 00:15:00-08,0,0,0,0
1544,2011-01-01 00:15:20-08,0,0,0,0
1538,2011-01-01 00:15:20-08,5,56,7,2
1530,2011-01-01 00:15:20-08,1,58,1,2
1524,2011-01-01 00:15:20-08,1,53,1,2
1516,2011-01-01 00:15:20-08,1,61,1,2
1509,2011-01-01 00:15:20-08,0,0,0,0
1502,2011-01-01 00:15:20-08,0,0,0,0
1495,2011-01-01 00:15:20-08,0,0,0,0
1489,2011-01-01 00:15:20-08,0,0,0,0
1490,2011-01-01 00:15:20-08,0,0,0,0
1544,2011-01-01 00:15:40-08,0,0,0,0
1538,2011-01-01 00:15:40-08,2,57,2,2
1530,2011-01-01 00:15:40-08,0,0,0,0
1524,2011-01-01 00:15:40-08,2,57,2,2
1516,2011-01-01 00:15:40-08,1,51,1,2
1509,2011-01-01 00:15:40-08,0,0,0,0
1502,2011-01-01 00:15:40-08,0,0,0,0
1495,2011-01-01 00:15:40-08,0,0,0,0
1489,2011-01-01 00:15:40-08,0,0,0,0
1490,2011-01-01 00:15:40-08,0,0,0,0
1544,2011-01-01 00:16:00-08,0,0,0,0
1538,2011-01-01 00:16:00-08,4,56,5,2
1530,2011-01-01 00:16:00-08,3,64,3,2
1524,2011-01-01 00:16:00-08,1,55,0,3
1516,2011-01-01 00:16:00-08,0,0,0,0
1509,2011-01-01 00:16:00-08,0,0,0,0
1502,2011-01-01 00:16:00-08,0,0,0,0
1495,2011-01-01 00:16:00-08,0,0,0,0
1489,2011-01-01 00:16:00-08,0,0,0,0
1490,2011-01-01 00:16:00-08,0,0,0,0
1544,2011-01-01 00:16:20-08,1,58,1,2
1538,2011-01-01 00:16:20-08,3,53,3,2
1530,2011-01-01 00:16:20-08,2,61,2,2
1524,2011-01-01 00:16:20-08,2,55,1,2
1516,2011-01-01 00:16:20-08,0,0,0,0
1509,2011-01-01 00:16:20-08,0,0,0,0
1502,2011-01-01 00:16:20-08,0,0,0,0
1495,2011-01-01 00:16:20-08,1,54,1,2
1489,2011-01-01 00:16:20-08,0,0,0,0
1490,2011-01-01 00:16:20-08,0,0,0,0
1544,2011-01-01 00:16:40-08,3,61,3,2
1538,2011-01-01 00:16:40-08,1,54,2,2
1530,2011-01-01 00:16:40-08,0,0,0,0
1524,2011-01-01 00:16:40-08,1,54,0,3
1516,2011-01-01 00:16:40-08,0,0,0,0
1509,2011-01-01 00:16:40-08,0,0,0,0
1502,2011-01-01 00:16:40-08,1,57,1,2
1495,2011-01-01 00:16:40-08,0,0,0,0
1489,2011-01-01 00:16:40-08,0,0,0,0
1490,2011-01-01 00:16:40-08,0,0,0,0
1538,2011-01-01 00:17:00-08,3,58,4,2
1530,2011-01-01 00:17:00-08,1,61,1,2
1524,2011-01-01 00:17:00-08,3,54,2,2
1516,2011-01-01 00:17:00-08,1,61,1,2
1509,2011-01-01 00:17:00-08,0,0,0,0
1502,2011-01-01 00:17:00-08,0,0,0,0
1495,2011-01-01 00:17:00-08,0,0,0,0
1489,2011-01-01 00:17:00-08,0,0,0,0
1490,2011-01-01 00:17:00-08,0,0,0,0
1544,2011-01-01 00:17:00-08,2,59,2,2
1544,2011-01-01 00:17:20-08,0,0,0,0
1538,2011-01-01 00:17:20-08,0,0,0,0
1530,2011-01-01 00:17:20-08,0,0,0,0
1524,2011-01-01 00:17:20-08,4,60,4,2
1516,2011-01-01 00:17:20-08,0,0,0,0
1509,2011-01-01 00:17:20-08,0,0,0,0
1502,2011-01-01 00:17:20-08,0,0,0,0
1495,2011-01-01 00:17:20-08,0,0,0,0
1489,2011-01-01 00:17:20-08,0,0,0,0
1490,2011-01-01 00:17:20-08,0,0,0,0
1544,2011-01-01 00:17:40-08,1,57,1,2
1538,2011-01-01 00:17:40-08,0,0,0,0
1530,2011-01-01 00:17:40-08,1,61,1,2
1524,2011-01-01 00:17:40-08,2,62,1,2
1516,2011-01-01 00:17:40-08,0,0,0,0
