detectorid,starttime,volume,speed,occupancy,status
1130,2010-07-20 01:28:20-07,0,-1,0,0
1130,2010-07-20 01:28:40-07,1,58,1,2
1130,2010-07-20 01:29:00-07,2,63,2,2
1130,2010-07-20 01:29:20-07,0,-1,0,0
1130,2010-07-20 01:29:40-07,0,-1,0,0
1130,2010-07-20 01:30:00-07,0,-1,0,0
1130,2010-07-20 01:30:20-07,0,-1,0,0
1130,2010-07-20 01:30:40-07,1,72,1,2
1130,2010-07-20 01:31:00-07,0,-1,0,0
1130,2010-07-20 01:31:20-07,1,59,1,2
1130,2010-07-20 01:31:40-07,0,-1,0,0
1130,2010-07-20 01:32:00-07,1,59,1,2
1130,2010-07-20 01:32:20-07,1,51,1,2
1130,2010-07-20 01:32:40-07,1,51,1,2
1130,2010-07-20 01:33:00-07,0,-1,0,0
1130,2010-07-20 01:33:20-07,1,61,2,2
1130,2010-07-20 01:33:40-07,0,-1,0,0
1130,2010-07-20 01:34:00-07,1,51,1,2
1130,2010-07-20 01:34:20-07,0,-1,0,0
1130,2010-07-20 01:34:40-07,1,61,1,2
1130,2010-07-20 01:35:00-07,1,51,1,2
1130,2010-07-20 01:35:20-07,1,61,1,2
1130,2010-07-20 01:35:40-07,1,62,1,2
1130,2010-07-20 01:36:00-07,0,-1,0,0
1130,2010-07-20 01:36:20-07,0,-1,0,0
1130,2010-07-20 01:36:40-07,0,-1,0,0
1130,2010-07-20 01:37:00-07,1,51,1,2
1130,2010-07-20 01:37:20-07,1,69,1,2
1130,2010-07-20 01:37:40-07,1,59,1,2
1130,2010-07-20 01:38:00-07,3,63,4,2
1130,2010-07-20 01:38:20-07,1,61,1,2
1130,2010-07-20 01:38:40-07,1,58,1,2
1130,2010-07-20 01:39:00-07,0,-1,0,0
1130,2010-07-20 01:39:20-07,1,58,1,2
1130,2010-07-20 01:39:40-07,1,59,1,2
1130,2010-07-20 01:40:00-07,0,-1,0,0
1130,2010-07-20 01:40:20-07,1,58,1,2
1130,2010-07-20 01:40:40-07,2,59,6,2
1130,2010-07-20 01:41:00-07,2,59,9,2
1130,2010-07-20 01:41:20-07,1,61,1,2
1130,2010-07-20 01:41:40-07,1,68,1,2
1130,2010-07-20 01:42:00-07,1,58,1,2
1130,2010-07-20 01:42:20-07,0,-1,0,0
1130,2010-07-20 01:42:40-07,0,-1,0,0
1130,2010-07-20 01:43:00-07,1,62,1,2
1130,2010-07-20 01:43:20-07,0,-1,0,0
1130,2010-07-20 01:43:40-07,0,-1,0,0
1130,2010-07-20 01:44:00-07,1,58,1,2
1130,2010-07-20 01:44:20-07,1,62,1,2
1130,2010-07-20 01:44:40-07,1,61,1,2
1130,2010-07-20 01:45:00-07,0,-1,0,0
1130,2010-07-20 01:45:20-07,2,59,3,2
1130,2010-07-20 01:45:40-07,1,59,5,2
1130,2010-07-20 01:46:00-07,1,69,1,2
1130,2010-07-20 01:46:20-07,0,-1,0,0
1130,2010-07-20 01:46:40-07,0,-1,0,0
1130,2010-07-20 01:47:00-07,3,59,4,2
1130,2010-07-20 01:47:20-07,0,-1,0,0
1130,2010-07-20 01:47:40-07,0,-1,0,0
1130,2010-07-20 01:48:00-07,1,51,1,2
1130,2010-07-20 01:48:20-07,0,-1,0,0
1130,2010-07-20 01:48:40-07,3,55,4,2
1130,2010-07-20 01:49:00-07,1,62,1,2
